la_code,la_name,SFBB availability (% premises),UFBB availability (% premises),NGA availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines  < 10Mbit/s,Average download speed (Mbit/s) for Basic BB lines,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines <10Mbit/s,Average upload speed (Mbit/s) for Basic BB lines,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s  (number of lines),Number of connections 2<5 Mbit/s  (number of lines),Number of connections 5<10 Mbit/s  (number of lines),Number of connections 10<30 Mbit/s  (number of lines),Number of connections >= 30 Mbit/s  (number of lines),Number of connections >= 300 Mbit/s  (number of lines),Average data usage (GB),Average data usage (GB) for lines <10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
00-EH,Darlington,92,0,93,1,3,4,8,39.4,51.4,0.1,300,4.9,9.7,87.8,300,3,4,0.1,20,0.8,1,6.8,13.8,1475,4307,4956,6855,20165,4,112.2,68,80,141.5,388
00-BL,Bolton District,97,0,98,0,0,1,3,23.3,45.2,0.1,300,5.6,11,81.4,300,1.3,3.8,0,20,0.8,1,6.9,14.3,1755,8708,15130,22887,45801,14,130,78.4,96.7,165.7,428.3
00-BM,Bury District,96,0,99,0,0,0,4,18.2,33.2,0.1,300,6,11.1,67.4,300,1.1,3.9,0,20,0.8,1.2,8.9,15,1253,5660,13722,18149,25127,2,131.9,76.4,100.6,178.9,583.7
00-BN,Manchester District,88,2,91,0,1,2,10,16.5,33.6,0,300,6,10.7,71.7,300,1.1,3.3,0,20,0.8,1,7.7,14,3746,15039,36066,48283,62284,5,148.8,105.3,122,195.5,65.2
00-BP,Oldham District,97,0,99,0,0,1,3,27.4,40.4,0.1,200,5.3,9.4,71.8,0,1.3,4.1,0.1,20,0.8,1.1,7.5,0,2282,7776,12846,12469,34957,0,138.4,87.2,102.5,173.4,0
00-BQ,Rochdale District,97,0,99,0,0,1,3,19.8,35.5,0.1,200,5.4,9.9,69,0,1.2,3.8,0,20,0.8,1.1,7.8,0,1996,8369,13024,14942,29360,0,135.6,83.8,99.8,182.7,0
00-BR,Salford District,90,3,93,0,1,3,8,20.1,41.7,0.2,300,6.2,12.1,80.3,300,1.2,3.7,0,20,0.8,1.1,7.4,15,1095,5300,14628,27199,36874,8,142.5,92.6,114.1,174.3,593.7
00-BS,Stockport District,98,0,99,0,0,0,2,34.9,50.4,0.2,300,6.1,12,85.2,300,2,4.3,0.1,20,0.8,1.1,7.5,13.2,1188,5952,15018,27245,54546,17,116.6,72.6,91.7,140.6,393.5
00-BT,Tameside District,96,0,99,0,0,0,4,17.9,33.6,0.2,300,6.3,11.4,69.5,300,1.1,3.7,0,20,0.9,1.1,8.6,15,1166,5293,17276,23080,29019,3,138.5,85.3,106.9,188,567
00-BU,Trafford District,96,0,98,0,0,1,3,26.9,43.7,0.2,300,6,11.7,76,300,1.3,4.2,0,20,0.8,1.1,7.9,14.4,1318,5168,12211,21888,40133,8,125.3,76.6,97.3,154.1,364.8
00-BW,Wigan District,97,0,99,0,0,1,3,30,48,0.1,300,5.7,11.5,82.1,300,2,3.9,0.1,20,0.8,1.1,6.7,14.2,2175,7876,16438,27173,57251,6,135.7,91.6,118,154.9,248
00-BX,Knowsley District,96,0,97,0,0,1,4,28.2,45.7,0.1,300,5.2,10.1,81.5,300,2,4,0.1,20,0.8,1,7.1,15,1568,5319,7439,10784,25033,2,150.5,105.4,130.2,174.6,117.9
00-BY,Liverpool District,93,2,95,0,0,1,5,21.5,44,0.1,300,6.3,12.9,80.9,300,1.3,3.6,0,20,0.8,1.1,6.6,15,2168,7158,22748,54105,72405,4,140.4,95.8,119.7,167.2,299.3
00-BZ,St. Helens District,90,0,91,1,2,5,10,20,47.5,0.1,200,5.2,9.4,90.5,0,1.3,3.5,0.1,20,0.8,0.9,6.5,0,2364,7723,11155,12797,30128,0,120,85.4,102.6,142.6,0
00-CA,Sefton District,97,0,99,0,0,1,3,22,43.6,0,300,6,12.1,79.1,300,1.3,3.9,0,20,0.8,1.1,7.4,10,1379,6153,14802,28986,45600,1,127.8,77.7,101.4,158.2,2.9
00-CB,Wirral District,95,0,97,0,0,1,5,18.6,38.1,0.1,300,6.1,11.9,79.1,300,1.2,3.6,0,20,0.8,1.1,7.8,13.8,2067,7794,20823,38153,44101,4,128.5,77,102.3,170.1,401.7
00-CC,Barnsley District,82,0,84,1,4,8,18,16.2,31.3,0.1,300,5.2,10.1,70.4,300,1.1,3.3,0.1,20,0.8,1,7.8,15,3255,11263,15320,21354,27718,1,124.2,77.5,95.8,177.3,2452.3
00-CE,Doncaster District,81,0,84,1,2,6,19,16.9,29.9,0.1,200,5.5,11.4,69.1,0,1.1,3.1,0.1,20,0.8,1.1,7.8,0,3375,10709,19031,33472,31443,0,129.2,75,100.9,187.5,0
00-CF,Rotherham District,81,0,84,1,4,8,19,15.2,29.6,0.1,200,5.5,10.5,71.1,0,1.1,3,0,20,0.8,1,7.7,0,3072,11054,19763,25399,27259,0,125.4,79.4,100.9,179.4,0
00-CG,Sheffield District,86,1,88,0,1,3,14,15.4,30.6,0,300,5.4,10.1,69.2,300,1.1,3.1,0,20,0.8,1,7.6,15,6552,23913,37143,47846,61303,3,124.7,78.9,97,176.2,443.3
00-CH,Gateshead District,91,1,93,0,1,3,8,19.9,39.9,0.1,300,5.8,11.4,81.2,300,1.2,3.2,0,20,0.9,1,6.4,10,1532,6222,12930,21396,29027,2,117.1,78.8,96.7,148.3,14.1
00-CJ,Newcastle upon Tyne District,93,2,96,0,0,0,5,19.9,39.1,0.1,300,6,12.1,77.2,300,1.2,3.6,0.1,20,0.9,1.1,7.5,13.3,1550,6301,15758,31304,38706,15,136.9,85.3,109.2,172.7,291.3
00-CK,North Tyneside District,88,0,88,0,2,7,12,19.8,42,0.1,300,5.5,10.4,85.1,300,1.2,3.6,0,20,0.8,1,7.4,13.6,1985,8605,13957,18785,31656,11,117,83.7,98.8,144.1,1294.8
00-CL,South Tyneside District,91,0,92,0,1,3,9,30,50.2,0.1,300,5,9.8,88.5,300,2,4,0,20,0.8,1,7,15,1564,6314,7241,9971,26427,5,127.6,81.8,97.1,157.9,307.6
00-CM,Sunderland District,96,0,97,0,0,1,4,20.2,39.6,0.1,300,5.3,10.3,76.5,300,1.2,4,0.1,20,0.8,1.1,8.1,14.4,2652,11146,15270,21621,40124,8,135.9,76.1,100.1,180.6,518
00-CN,Birmingham District,93,1,94,0,0,2,6,28.6,46.6,0,300,6,11.4,81.7,300,2,3.7,0,22.1,0.8,1,6.4,14.2,5053,22628,54208,83887,165884,12,152,113.8,132.6,173.2,270.6
00-CQ,Coventry District,91,0,92,0,1,3,9,19.9,40.7,0.2,300,6,11.2,79.8,300,1.2,3.7,0,20,0.8,1,7.5,15,1630,8598,20290,29620,45232,4,163.9,115.6,144.2,190.5,196.5
00-CR,Dudley District,96,0,96,0,0,1,4,30,47.2,0.1,200,6,10.7,82.8,0,2,3.7,0,20,0.9,1,6.4,0,1548,8126,19129,23182,53222,0,129.9,98.8,117.7,145.1,0
00-CS,Sandwell District,92,0,93,0,0,2,8,18.8,38.3,0.1,300,6.1,11.4,78.2,300,1.1,3.1,0,20,0.8,1,6.5,15,1671,7526,19035,29514,38921,2,156.9,119.9,144.1,179.2,468.1
00-CT,Solihull District,95,0,96,0,1,2,5,40,49.3,0,300,5.7,11.2,80.6,300,3,4.3,0,20,0.8,1.1,7.2,10,1250,5566,10183,16797,41104,1,122.6,75.7,97.1,145.3,95.2
00-CU,Walsall District,93,0,94,0,0,2,7,20.3,40.2,0.1,300,6,11.2,75.9,300,1.2,3.6,0.1,20,0.8,1.1,7,13.8,1391,6647,15302,22912,37580,4,150.4,107.5,134.5,172.7,87.5
00-CW,City of Wolverhampton District,97,0,97,0,0,1,3,30,47,0.2,300,6.2,11.9,79,300,2.5,3.7,0,20,0.9,1.1,6.3,15,857,4260,12388,20363,41590,1,155.4,113.1,142.4,171.3,166.3
00-CX,Bradford District,93,1,96,0,1,2,6,20.5,38.9,0,300,5.9,11.9,73.9,300,1.2,3.3,0,20,0.9,1.1,6.5,15,2888,12090,27253,47976,69547,1,147.3,101.1,133.4,168.6,174.8
00-CY,Calderdale District,85,0,92,0,2,5,15,16.1,30.6,0.1,200,5.5,10.8,71.7,0,1.1,3.2,0.1,20,0.8,1.1,8.4,0,2308,8501,14881,21501,22703,0,131.7,86.5,112.7,170.6,0
00-CZ,Kirklees District,85,0,88,0,3,5,15,16.6,36.9,0.1,300,5.2,9.6,81.2,300,1.1,3.3,0,20,0.8,1,7.1,13.1,5295,19650,28731,32465,53097,13,129.7,92.7,112.5,159.1,308.1
00-DA,Leeds District,92,1,95,0,1,2,7,20.3,40.4,0,300,5.5,11,77.5,300,1.2,3.6,0,20,0.8,1,7.2,13.6,6648,26271,45213,70328,117543,22,146.4,95.6,119.4,183.3,461.1
00-DB,Wakefield District,93,0,97,0,1,2,7,16.2,29.3,0.1,200,5.3,10.4,64.9,0,1.1,3.4,0.1,20,0.8,1.1,8.4,0,4201,15113,21921,31720,38858,0,143.6,89.8,116.3,195.9,0
00-EB,Hartlepool,95,0,96,0,1,3,5,50,56,0,300,4.6,8.9,86.4,300,3,4.5,0,20,0.7,1,6.7,15,1406,3204,3259,4185,18703,4,129.8,69.2,83.9,159.8,1679.9
00-EC,Middlesbrough,94,0,94,0,2,3,6,39.9,52.6,0.2,300,5.5,11.2,89,300,3,3.8,0,20,0.8,1,6.3,15,1056,3645,6337,10549,24542,5,131.4,85.2,103.8,158.2,175.9
00-EE,Redcar and Cleveland,93,0,94,0,2,4,7,40,54.2,0.2,300,5.5,11.2,91.6,300,3,3.9,0,20,0.8,1,6.5,15,1171,3849,6831,10712,25840,4,111.1,69.8,85.8,135.7,217
00-EF,Stockton-on-Tees,92,0,93,0,2,4,8,40,51.3,0.1,300,4.9,10,84.9,300,3,4,0,20,0.8,1,6.4,15,1992,7731,8440,12141,37360,1,117.7,76.1,86.9,143.9,76.5
00-EJ,County Durham,91,0,97,1,2,3,9,15.4,22.6,0.1,300,5.3,11,50.3,300,1.1,3.4,0.1,20,0.8,1.1,10.7,0,7325,21880,32579,56798,49248,24,124.8,66.1,90.6,202.3,0
00-EM,Northumberland,86,1,95,2,4,6,13,15.1,22.3,0.1,80,5.4,10.8,50.7,0,1.1,3.5,0,20,0.8,1.1,10.6,0,5797,14274,24798,36599,33070,0,117.6,64.6,88.4,184.9,0
00-EQ,Cheshire East,88,1,96,1,2,5,12,17.9,31.9,0.1,300,5.5,10.7,65.7,300,1.1,3.9,0,20,0.8,1.1,9.3,12.5,4854,14442,26500,37742,52125,10,122.6,75.3,96.4,162.3,421.6
00-ET,Halton,96,0,98,0,1,1,4,22.2,46,0.1,200,5.2,10.2,85.5,0,1.3,4.3,0,20,0.8,1.1,8,0,1366,5414,6728,9924,21152,0,140.5,80.2,106.2,179.8,0
00-EU,Warrington,95,0,98,0,1,1,5,24,45.2,0.1,300,5.3,10.7,81.2,300,1.3,4.3,0,20,0.8,1.1,8,13.6,2436,6975,11250,17476,36508,14,126.4,73.3,91.6,163,237.5
00-EW,Cheshire West and Chester,87,2,95,1,2,4,11,16.9,28.4,0.1,300,5.5,11,61.8,300,1.1,3.8,0,20,0.8,1.1,9.8,15,4124,14451,23999,36848,41235,2,125,69.8,95.6,180.1,47
00-EX,Blackburn with Darwen,94,0,97,0,1,1,5,17.4,37.4,0.1,300,5.8,10,76.8,300,1.1,3.5,0.1,20,0.8,1,7.3,15,1104,4684,10134,10725,18478,10,136.5,85,102.2,186.3,743.2
00-EY,Blackpool,98,0,98,0,0,0,2,20.3,42.9,0.1,300,6.3,13.3,86.5,300,1.2,3.6,0,20,0.9,1.1,7.8,15,643,2476,7592,18480,19827,1,155.3,88,138,184.4,0
00-FA,City of Kingston upon Hull,1,31,36,0,4,30,68,11.2,27.3,0.1,1000,6.2,9.7,87.6,782.6,1,4.7,0.1,500,0.9,0.9,15,384.4,740,7844,21869,24248,14247,155,102.4,78.7,85.4,155,1232.2
00-FB,East Riding of Yorkshire,50,17,73,2,3,10,34,15.1,26.2,0.1,1000,5.8,11.8,65.8,667.8,1,4,0,500,0.8,1.1,12.4,333.9,3572,9671,22519,46846,29069,76,100,57,81.5,148.7,371
00-FC,North East Lincolnshire,97,0,98,0,1,2,3,50,61,0.1,300,6,12,94.8,300,3,4.4,0.1,20,0.9,1.1,6.7,14.1,780,2670,6811,12456,32884,17,125.6,76.9,101.7,144.1,355
00-FD,North Lincolnshire,86,0,92,1,3,5,14,20.3,38.1,0.1,300,4.7,10.3,74.7,300,1.2,4,0,20,0.7,1.1,8,13.3,3518,6763,7951,13345,23876,3,115.7,59.3,81.7,160.4,1216.5
00-FF,York,81,8,92,1,1,3,11,17.8,42.2,0.1,900,5.6,11,71,879.4,1.1,3.7,0,20,0.8,1.1,8.7,15,2030,7325,13182,20605,26201,729,120,70.7,99.4,153.9,156.3
00-FK,City of Derby,95,0,96,0,1,2,5,32.9,48,0,300,5.8,11.5,79.9,300,2.7,4,0,20,0.8,1.1,6.6,14.4,1666,5244,11595,20668,44824,8,134.2,85,100.8,164.2,1019.6
00-FN,City of Leicester,93,0,94,0,0,1,7,30,47.8,0.1,300,6,12.1,80.1,300,2,3.7,0,20,0.8,1,6.1,12.9,1465,6218,14442,26666,53714,21,164.3,120.8,147.9,181.6,241.5
00-FP,Rutland,79,6,98,1,2,4,14,21.3,58.3,0.1,1000,5.2,12.8,51.1,596.4,1.2,4.5,0.1,20,0.7,1.3,10.6,0,533,1149,1835,4644,5824,758,105.8,50.1,87.5,132.1,0
00-FY,City of Nottingham,94,2,96,0,0,1,4,40,51.6,0.2,300,5.9,11.5,84.1,300,3,3.9,0,20,0.8,1,6.4,12.1,1404,6526,14382,22644,55418,19,146.8,96.2,113.5,175.6,266.1
00-GA,County of Herefordshire,67,1,79,5,11,20,32,8.7,18.7,0.1,80,4.9,9,52.5,0,1,2.9,0,20,0.7,1,11,0,5455,13088,15820,16532,14560,0,91.9,53.4,67.4,165.3,0
00-GF,Telford and Wrekin,87,0,90,0,3,5,13,22,43.1,0.2,200,5.7,11.9,78.7,0,1.3,3.7,0,20,0.8,1.1,7,0,1184,4504,8464,17618,27891,0,148.7,95,130.2,171.9,0
00-GG,Shropshire,72,2,85,3,7,14,26,14.2,21.9,0.2,200,5.2,10.6,54.1,0,1.1,3.2,0,20,0.8,1.1,10.6,0,6068,15223,23881,34013,27736,0,99.4,59.2,80.2,150.9,0
00-GL,City of Stoke-on-Trent,98,0,98,0,0,1,2,30,47.8,0.1,300,5.5,9.9,85.2,300,2,4.1,0.1,20,0.8,1.1,7.2,12.4,1843,8542,14242,16742,41744,23,143.2,101.5,122,167.6,268.5
00-HA,Bath and North East Somerset,84,0,89,1,2,5,16,18.1,31.3,0,200,5.4,11.5,67.5,0,1.1,3.5,0,20,0.8,1.1,8.7,0,2104,7157,11171,21040,22706,0,118.2,70.1,94.3,158.7,0
00-HB,City of Bristol,93,1,94,0,0,1,7,46.2,52.4,0.1,300,6.4,12.9,83.1,300,3,4,0,20,0.9,1,6.3,15,1493,5974,19471,43759,90976,8,135.2,97.4,116.4,150.3,286.9
00-HC,North Somerset,83,0,89,2,3,5,17,14.9,27.8,0.1,300,5.7,10.9,67.4,300,1.1,3.2,0,20,0.8,1.1,8.9,15,2366,8741,17738,25443,23182,1,119.5,77.5,97.8,164.6,1216.3
00-HD,South Gloucestershire,91,1,98,1,1,3,8,39.9,53.5,0.1,300,5.3,10.7,84.4,300,3,4.4,0.1,20,0.8,1.1,7.3,14.4,2685,8777,13345,19815,53216,1231,120.4,74.1,94.3,142.2,286.3
00-HE,Cornwall,56,29,94,1,3,6,15,15.3,21.9,0,300,5.4,11.5,53.2,300,1.1,3,0,20,0.8,1.1,10.3,15,9346,23820,40711,74146,49151,1,108.8,63.9,95.6,146.7,221
00-HF,Isles of Scilly,92,0,100,0,1,1,8,20.7,29,0.2,80,5.5,9.1,54,0,1.2,5.4,0.1,20,0.9,1.4,11.9,0,51,143,273,178,513,0,86.7,42.5,56,124.7,0
00-HG,City of Plymouth,96,0,96,0,1,1,4,40,54.1,0.1,300,5.7,11.2,87,300,3,4.3,0,20,0.9,1.1,6.9,14,1692,6529,12160,20227,52859,24,142.6,95.3,121.9,161.4,274.6
00-HH,Torbay,89,0,93,0,0,1,11,18.1,32,0.1,300,6.4,13.2,73.7,300,1.1,3.1,0.1,20,0.9,1.1,8.1,13.6,600,2963,8921,21209,15217,7,131.6,85.4,117.3,164.4,1197.2
00-HN,Bournemouth,99,0,99,0,0,0,1,30,46,0,300,6.1,12.7,77.9,300,2,4.3,0,20,0.9,1.1,7.4,13.9,734,3851,9745,19376,35155,9,143,85.7,120.9,164.2,364.5
00-HP,Poole,97,0,99,0,0,0,3,30,48.5,0.1,300,5.6,11.2,83.4,300,2,4.3,0,20,0.9,1.1,7.5,13.3,935,4760,8160,13050,28715,12,123.7,84.4,100,146.9,634.8
00-HX,Swindon,82,1,85,0,1,4,17,20.5,48.1,0.1,300,5.6,11.4,88.1,300,1.2,3.9,0,20,0.8,1,7.6,15,1516,7206,11717,22387,35260,756,131,79.5,103.2,165.2,449
00-HY,Wiltshire,84,0,94,1,4,6,16,18.1,33.2,0.1,300,5.5,11.5,69.6,300,1.2,3.8,0.1,20,0.8,1.2,9,12.8,5990,18453,33074,57771,63930,734,115.1,67.1,93.3,154.3,251
00-JA,City of Peterborough,94,3,98,0,0,1,4,33.6,53.2,0,1000,5.2,9.9,78,455.4,3,4.3,0,20,0.8,1.1,7.4,13.3,2262,7420,9945,12375,36197,1302,161,107.5,128.6,193.8,239
00-KA,Luton,98,0,98,0,0,1,2,44.1,53.3,0.1,300,5,10.4,82.5,300,3,4.3,0.1,29.6,0.8,1,6.7,15,1666,5967,6954,11492,38369,1,160.7,111.1,138.3,177.8,682
00-KB,Bedford,87,1,91,1,4,6,12,23.5,44.2,0.1,300,4.8,10.6,80.3,300,1.3,4.1,0,20,0.8,1.1,7.5,14.4,2903,6712,7669,13724,28541,49,127.2,78.8,100.3,157.9,962
00-KC,Central Bedfordshire,88,0,91,1,3,6,12,21.2,40.9,0.1,300,5.2,12.1,78.5,300,1.2,4,0,20,0.8,1.2,8.1,14.5,3111,9132,13304,30856,43203,13,127.4,78.1,107.2,153.5,208.6
00-KF,Southend-on-Sea,95,0,96,0,0,0,5,22.4,44.3,0.1,300,6.6,13.5,79.7,300,1.3,4.3,0.1,20,0.9,1.2,8.2,13,603,2136,8999,22486,29689,10,154.6,93.9,135.8,177.4,278.8
00-KG,Thurrock,92,0,94,0,1,4,7,23.3,47.8,0.2,300,5.3,11,86.1,300,1.3,4.4,0.1,20,0.8,1.1,8.2,15,1913,5224,8031,13833,26562,217,160.9,106.8,141.7,182.6,378.6
00-LC,Medway,95,0,97,0,1,2,5,39.9,52.8,0.2,300,5.5,11,88.2,300,3,4.5,0,20,0.8,1.1,7.6,13.8,2172,8013,12959,20286,51157,28,152.6,103.5,137.6,166.9,362.7
00-London,London,89,4,95,0,0,1,7,20,39.6,0,300,6.2,12.1,75.1,300,1.2,3.8,0,20,0.9,1.1,7.7,14.4,38746,177013,494540,933347,1262744,2131,157.5,112.6,136.9,183.7,344.1
00-MA,Bracknell Forest,94,0,97,0,1,1,6,32.4,44.9,0,300,4.8,9.3,76.5,300,3,4.9,0,20,0.8,1.2,8.6,15,1353,5828,5504,7042,22119,4,152,94.9,116.7,182.4,567.2
00-MB,West Berkshire,76,19,97,0,1,1,5,19.1,35.3,0.1,1000,5.5,11.7,69,983.8,1.2,4,0,20,0.8,1.2,9.4,15,1910,5926,9769,18690,21834,130,121.2,69.6,91.2,167.3,272.3
00-MC,Reading,96,1,99,0,0,1,3,30,46.4,0.1,300,5.9,12.3,78.1,300,2,4.2,0.1,20,0.8,1.1,7.4,15,761,3311,7595,16259,29705,49,162.8,110.2,141.5,184.1,416.3
00-MD,Slough,95,1,97,0,0,1,4,22,41.4,0.1,300,5.2,10.1,75.7,300,1.3,4.2,0,20,0.8,1.1,7.9,14,1826,4322,6879,9830,20734,10,178.2,114.9,148.4,210.1,325.6
00-ME,Windsor and Maidenhead,88,1,94,0,1,2,11,22.1,37.1,0.1,300,5.2,10.9,68.7,300,1.2,4.6,0.1,20,0.8,1.3,9.6,13.8,1561,6155,8156,13359,24197,4,140.5,81.9,109.1,177,178.6
00-MF,Wokingham,89,1,95,0,1,2,10,30,42.9,0.1,300,5.4,11.7,73.2,300,2,4.7,0.1,20,0.8,1.2,8.6,14.4,1374,4696,7266,14872,28914,8,137.5,79,109.4,164.7,317.2
